"A0435265","Wafer seal","100","69"
"A0445614","Wafer seal","1","4"
"A0453501","Wafer seal","16","13"
"A0526894","Wafer seal","4","2"
"A0580262","Wafer seal","6","132"
"A0564519","Wafer seal","-","3"
"A0520474","Wafer seal","Provided by Applied","Provided by Applied"
"A0477606","Contact Pin","17","183"
"A0488408","Contact Pin","7","18"
"A0491889","Contact Pin","50","100"
"A0512474","Contact Pin","-","25"
"A0520478","Contact Pin","26","624"
"A0494989","wafer shipping","-","5"
"A0494988","wafer shipping","-","5"
"A0493043","Lead in","11","34"
"A0410332","Lead in","5","15"
"A0473041","Retainer","5","15"
"A0480645","Retainer","1","4"
"A12A016","screw","60","1,940"
"A0405465","screw","6,000","-"
"HSM305A03A008","screw","100","100"
"HSM407A03A008","screw","100","100"
"A0382962","screw","100","100"
