"","","","","","","","","","",""
"","Item","Component 
PN","Manufacturer","Incoming
 Q'ty","refurb 
수량","1개월 평균 수량","구매원가 ($)","1개월 Total price ($)","Au","Remark"
"","Wafer Seal","A0435265","GREENE TWEED","","545","55 "," $       2,050.00 "," $                 111,725.00 ","",""
"","Wafer Seal","A0445614","GREENE TWEED","","5","1 "," $       1,950.00 "," $                         975.00 ","",""
"","Wafer Seal","A0453501","GREENE TWEED","","28","3 "," $       2,050.00 "," $                      5,740.00 ","",""
"","Wafer Seal","A0520474","PPE LLC -> AMAT ","","11","1 "," $       2,750.21 "," $                      3,025.23 ","","AMAT 사급 예정"
"","Wafer Seal","A0526894","GREENE TWEED","","11","1 "," $       2,500.00 "," $                      2,750.00 ","",""
"","Wafer Seal","A0564519","GREENE TWEED","","3","0 "," $       3,350.00 "," $                      1,005.00 ","",""
"","Wafer Seal","A0580262","GREENE TWEED","","172","17 "," $                   -   "," $                                  -   ","","Conversion 킷으로 새발주 필요"
"","Contact pin","A0477606","DERINGER","","740","74 "," $          470.96 "," $                    34,851.25 ","",""
"","Contact pin","A0488408","DERINGER","","32","3 "," $          616.02 "," $                      1,971.26 ","",""
"","Contact pin","A0491889","DERINGER","","472","47 "," $          607.42 "," $                    28,670.04 ","",""
"","Contact pin","A0512474","DERINGER","","6","1 "," $          673.57 "," $                         404.14 ","",""
"","Contact pin","A0520478","DERINGER","","1097","110 "," $          313.48 "," $                    34,388.53 ","","Au Plate x 5ea 전량교체"
"","Total","","","","","312 ",""," $                 225,505.45 ","",""
"","","","","","","","","          315,707,634 ","",""
"","","","","","","","","","",""
"","1. 2025년 1월~10월 입고수량 대비 refurb 수량 비율 계산","","","","","","","","",""
"","  -. WaferSeal은 SS 1개당 수량 1ea, Contact pin은 SS 1개당 2ea 필요로 계산","","","","","","","","",""
"","  -. AU 제품은 contact pin 수리 시 전량 5ea 수리 필요(0247-10518)","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
