"품명","규격"
"Wafer Seal 2.0 GT 300mm (D2)","A0453501 / maker code: 5641A2456SX00570"
"WAFER SEAL 2.4 GT 300MM (D4)","A0435265 / MAKER CODE: 5641A2393SX00570"
"SEAL, 3.8MM, ROUNDED 300MM","A0564519 / MAKER CODE: A0564519"
"WAFER SEAL 2.4 GT 200MM (D6)","A0445614 / MAKER CODE: 5641A2435SX00570"
"WAFER SEAL 2.0 GT 300MM (D2)","A0453501 / MAKER CODE: 5641A2456SX00570"
"2.4MM REACH SEAL FLATTED WAFER 200MM(D18)","A0526894 / MAKER CODE: A0526894"
"SEAL, 3.8MM, ROUNDED 300MM","A0564519 / MAKER CODE: A0564519"
"WAFER SEAL 2.4 GT 200MM (D6)","A0445614 / MAKER CODE: 5641A2435SX00570"
"WAFER SEAL 2.0 GT 300MM (D2)","A0453501 / MAKER CODE: 5641A2456SX00570"
"2.4MM REACH SEAL FLATTED WAFER 200MM(D18)","A0526894 / MAKER CODE: A0526894"
"WAFER SEAL 2.0 GT 300MM (D2)","A0453501 / MAKER CODE: 5641A2456SX00570"
"WAFER SEAL 2.4 GT 300MM (D4)","A0435265 / MAKER CODE: 5641A2393SX00570"
"WAFER SEAL 2.4 GT 200MM (D6)","A0445614 / MAKER CODE: 5641A2435SX00570"
"WAFER SEAL 2.0 GT 300MM (D2)","A0453501 / MAKER CODE: 5641A2456SX00570"
"2.4MM REACH SEAL FLATTED WAFER 200MM(D18)","A0526894 / MAKER CODE: A0526894"
"SEAL, 2.7MM, ROUNDED 300MM","A0580262 / MAKER CODE: A0580262"
"SEAL, 2.7MM, ROUNDED 300MM","A0580262 / MAKER CODE: A0580262"
"2.4MM REACH SEAL FLATTED WAFER 200MM(D18)","A0526894 / MAKER CODE: A0526894"
"WAFER SEAL 2.0 GT 300MM (D2)","A0453501 / MAKER CODE: 5641A2456SX00570"
"WAFER SEAL 2.4 GT 200MM (D6)","A0445614 / MAKER CODE: 5641A2435SX00570"
"WAFER SEAL 2.4 GT 300MM (D4)","A0435265 / MAKER CODE: 5641A2393SX00570"
"CONTACTS 10MM THK2.0MM REACH SEAL RING","A0520478 / MAKER CODE: 020823"
"CONTACT 300MM J 0.81MM (C7)","A0477606 / MAKER CODE: 020084"
"CONTACT 200MM J 0.81MM (C8)","A0488408 / MAKER CODE: 020190"
"CONTACT 300MM J 1.4MM (C9)","A0491889 / MAKER CODE: 020239"
"CONTACTS, J-TYPE, 0.10MM THICK, 2.2MM CONTACT REACH (C13)","A0512474 / MAKER CODE: 020721"
"CONTACT 300MM J 0.81MM (C7)","A0477606 / MAKER CODE: 020084"
"CONTACT 300MM J 1.4MM (C9)","A0491889 / MAKER CODE: 020239"
"CONTACT 300MM J 0.81MM (C7)","A0477606 / MAKER CODE: 020084"
"CONTACT 300MM J 1.4MM (C9)","A0491889 / MAKER CODE: 020239"
"CONTACTS 10MM THK2.0MM REACH SEAL RING","A0520478 / MAKER CODE: 020823"
"SEAL, 2.7MM, ROUNDED 300MM","A0580262 / MAKER CODE: A0580262"
"SEAL, 3.8MM, ROUNDED 300MM","A0564519 / MAKER CODE: A0564519"
"CONTACT C11 1.1MM","A0522472 / MAKER CODE: 020920"
